Date:,9/13/2023,,,,,,,,
Time:,7:45 PM,,,,,,,,
Summary Notes:,Flat Plate Angle,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:43:53.734,19.9,88,0,-0.03,1.15,-0.02,0,Normal,
20230913 19:43:53.750,21.3,91,0,0.01,1.15,-0.01,0,Normal,
20230913 19:43:53.765,21.1,91,-0.1,-0.01,1.21,-0.08,0,Normal,
20230913 19:43:53.781,20.8,90,0,0.01,1.14,-0.07,0,Normal,
20230913 19:43:53.796,21.4,92,0,0.01,1.13,-0.06,0,Normal,
20230913 19:43:53.812,21.2,91,0,0,1.18,-0.12,0,Normal,
20230913 19:43:53.828,22.2,93,0,-0.06,1.18,-0.05,0,Normal,
20230913 19:43:53.843,20.9,90,0,0.02,1.19,0.02,0,Normal,
20230913 19:43:53.859,20.8,90,0,-0.07,1.37,0.02,0,Normal,
20230913 19:43:53.875,21.4,92,0,-0.03,1.22,-0.07,0,Normal,
20230913 19:43:53.890,20.8,90,0,-0.03,1.25,-0.04,0,Normal,
20230913 19:43:53.906,21,91,0,-0.03,1.11,-0.13,0,Normal,
20230913 19:43:53.921,20.5,89,0,0.04,1.12,-0.02,0,Normal,
20230913 19:43:53.937,20.6,90,0,0.01,1.02,0.05,0,Normal,
20230913 19:43:53.953,20.9,90,0,0.01,1.18,-0.03,0,Normal,
20230913 19:43:53.984,22.1,93,0,0.03,1.14,-0.08,0,Normal,
20230913 19:43:54.000,20.3,89,0,0,1.19,0.09,0,Normal,
20230913 19:43:54.015,21.1,91,0,0.01,1.15,-0.01,0,Normal,
20230913 19:43:54.031,21.5,92,0,-0.09,1.24,-0.08,0,Normal,
20230913 19:43:54.046,20,88,0,0,1.18,-0.1,0,Normal,
20230913 19:43:54.062,21.2,91,0,-0.05,1.29,-0.14,0,Normal,
20230913 19:43:54.078,21.4,91,0,-0.02,1.24,0.05,0,Normal,
20230913 19:43:54.093,20.8,90,0,-0.01,1.22,0.01,0,Normal,
20230913 19:43:54.109,20.9,90,0,-0.04,1.26,-0.01,0,Normal,
20230913 19:43:54.125,21.3,91,0,-0.02,1.12,0.06,0,Normal,
20230913 19:43:54.140,21.6,92,0,-0.02,1.25,0.07,0,Normal,
20230913 19:43:54.156,21.5,92,0,0.03,1.2,-0.13,0,Normal,
20230913 19:43:54.171,21.6,92,0,0.01,1.2,-0.08,0,Normal,
20230913 19:43:54.187,21.9,93,-0.1,0.02,1.22,-0.07,0,Normal,
20230913 19:43:54.203,21,91,-0.1,-0.03,1.28,-0.14,0,Normal,
20230913 19:43:54.218,22.5,94,-0.1,-0.02,1.26,-0.02,0,Normal,
20230913 19:43:54.250,21.2,91,0,-0.05,1.18,-0.01,0,Normal,
20230913 19:43:54.265,21.9,93,0,0.03,1.17,-0.01,0,Normal,
20230913 19:43:54.281,21.8,92,0,0,1.2,0.01,0,Normal,
20230913 19:43:54.296,22.2,93,0,0,1.27,-0.01,0,Normal,
20230913 19:43:54.312,22,93,0,-0.03,1.24,0.06,0,Normal,
20230913 19:43:54.328,20.4,89,0,-0.01,1.23,-0.09,0,Normal,
