Date:,9/13/2023,,,,,,,,
Time:,7:52 PM,,,,,,,,
Summary Notes:,sphere velocity,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20230913 19:51:49.703,0,2,0,0,-0.01,0,0,Normal,
20230913 19:51:49.718,0,3,0,0.01,0,0.01,0,Normal,
20230913 19:51:49.734,0,2,0,0,0,-0.02,0,Normal,
20230913 19:51:49.750,0,4,0,0,-0.01,0,0,Normal,
20230913 19:51:49.765,0,4,0,0.01,0,-0.02,0,Normal,
20230913 19:51:49.796,0.1,5,0,-0.01,0,-0.01,0,Normal,
20230913 19:51:49.812,0,3,0,-0.02,-0.01,0.03,0,Normal,
20230913 19:51:49.828,0,0,0,0.03,0,-0.01,0,Normal,
20230913 19:51:49.843,0,2,0,0,0.01,0,0,Normal,
20230913 19:51:49.859,0.1,4,0,0,0.01,-0.02,0,Normal,
20230913 19:51:49.875,0,2,0,0,0,0,0,Normal,
20230913 19:51:49.890,0,1,0,0.01,-0.01,0.03,0,Normal,
20230913 19:51:49.906,0,1,0,0.01,-0.01,0,0,Normal,
20230913 19:51:49.921,0,1,0,-0.01,0,0.01,0,Normal,
20230913 19:51:49.937,0,2,0,0,0,-0.02,0,Normal,
20230913 19:51:49.953,0,2,0,0,0.01,-0.02,0,Normal,
20230913 19:51:49.968,0.1,5,0,0.01,0,-0.01,0,Normal,
20230913 19:51:49.984,0,2,0,0.03,0.01,-0.02,0,Normal,
20230913 19:51:50.000,0,1,0,0.01,0.01,0.01,0,Normal,
20230913 19:51:50.015,0,2,0,0.01,0,0.02,0,Normal,
20230913 19:51:50.031,0,3,0,-0.01,-0.02,-0.01,0,Normal,
20230913 19:51:50.062,0,1,0,0.02,0,-0.01,0,Normal,
20230913 19:51:50.078,0,2,0,0.02,-0.02,0,0,Normal,
20230913 19:51:50.093,0,1,0,0.02,-0.02,0.01,0,Normal,
20230913 19:51:50.109,0,3,0,-0.01,-0.01,-0.02,0,Normal,
20230913 19:51:50.125,0,3,0,-0.01,0,-0.02,0,Normal,
20230913 19:51:50.140,0,2,0,0.01,0,0.02,0,Normal,
20230913 19:51:50.156,0,1,0,0.01,0,0,0,Normal,
20230913 19:51:50.171,0,2,0,-0.01,-0.01,0.01,0,Normal,
20230913 19:51:50.187,0,2,0,-0.01,-0.01,-0.01,0,Normal,
20230913 19:51:50.203,0,3,0,-0.01,-0.01,0,0,Normal,
20230913 19:51:50.218,0,2,0,0.01,-0.01,0,0,Normal,
20230913 19:51:50.234,0,1,0,-0.02,-0.01,-0.02,0,Normal,
20230913 19:51:50.250,0,2,0,0.02,-0.01,0.03,0,Normal,
20230913 19:51:50.265,0,2,0,0,-0.01,-0.01,0,Normal,
20230913 19:51:50.281,0,1,0,0,0,-0.01,0,Normal,
20230913 19:51:50.296,0,3,0,0.01,-0.01,-0.03,0,Normal,
20230913 19:51:50.328,0,0,0,-0.01,-0.01,-0.01,0,Normal,
20230913 19:51:50.343,0,3,0,0.01,-0.01,0,0,Normal,
20230913 19:51:50.359,0,3,0,0,0,-0.02,0,Normal,
20230913 19:51:50.375,0,2,0,-0.01,-0.01,0.01,0,Normal,
20230913 19:51:50.390,0,2,0,0.01,-0.02,0,0,Normal,
20230913 19:51:50.406,0,2,0,0,0,0.01,0,Normal,
20230913 19:51:50.421,0,2,0,0.01,0.01,-0.01,0,Normal,
20230913 19:51:50.437,0,2,0,0,0.01,0,0,Normal,
20230913 19:51:50.453,0,3,0,0.02,0,0,0,Normal,
20230913 19:51:50.468,0,2,0,0,0,-0.01,0,Normal,
20230913 19:51:50.484,0,1,0,-0.01,0,-0.01,0,Normal,
20230913 19:51:50.500,0,2,0,-0.01,-0.02,-0.01,0,Normal,
20230913 19:51:50.515,0,4,0,0.02,-0.01,-0.02,0,Normal,
20230913 19:51:50.531,0,1,0,0,-0.02,0,0,Normal,
20230913 19:51:50.546,0,3,0,-0.01,0,0.01,0,Normal,
20230913 19:51:50.562,0,1,0,0,-0.01,-0.01,0,Normal,
20230913 19:51:50.593,0,3,0,0,-0.01,-0.03,0,Normal,
20230913 19:51:50.609,0,4,0,-0.01,-0.01,-0.04,0,Normal,
20230913 19:51:50.625,0,2,0,-0.03,0.01,-0.02,0,Normal,
20230913 19:51:50.640,0,4,0,-0.02,0,-0.01,0,Normal,
20230913 19:51:50.656,0,3,0,-0.01,0,0,0,Normal,
20230913 19:51:50.671,0,4,0,-0.02,-0.01,0,0,Normal,
20230913 19:51:50.687,0,3,0,0,0,-0.02,0,Normal,
20230913 19:51:50.703,0,0,0,-0.01,-0.01,0,0,Normal,
20230913 19:51:50.718,0,3,0,-0.03,-0.01,-0.03,0,Normal,
20230913 19:51:50.734,0,4,0,0,-0.01,-0.02,0,Normal,
20230913 19:51:50.750,0,0,0,0.02,0,-0.01,0,Normal,
20230913 19:51:50.765,-0.1,4,0,-0.01,0,-0.04,0,Normal,
20230913 19:51:50.781,0,2,0,0.01,-0.01,-0.01,0,Normal,
20230913 19:51:50.796,0,2,0,0,0.01,-0.02,0,Normal,
20230913 19:51:50.812,0,3,0,-0.02,0.01,-0.03,0,Normal,
20230913 19:51:50.828,0,2,0,0,-0.01,-0.02,0,Normal,
20230913 19:51:50.859,0,1,0,-0.01,-0.01,-0.04,0,Normal,
20230913 19:51:50.875,0,2,0,0,-0.01,-0.04,0,Normal,
20230913 19:51:50.890,0,1,0,0,-0.01,-0.02,0,Normal,
20230913 19:51:50.906,0,4,0,0,-0.01,-0.03,0,Normal,
20230913 19:51:50.921,0,3,0,-0.02,0,-0.01,0,Normal,
20230913 19:51:50.937,0,2,0,0.02,0,0,0,Normal,
20230913 19:51:50.953,0,2,0,0,0,-0.02,0,Normal,
20230913 19:51:50.968,0,1,0,0,0,-0.02,0,Normal,
20230913 19:51:50.984,0,3,0,0.01,0.01,0,0,Normal,
20230913 19:51:51.000,0,4,0,-0.01,-0.01,-0.01,0,Normal,
20230913 19:51:51.015,0,2,0,-0.01,0,-0.02,0,Normal,
20230913 19:51:51.031,0,3,0,0.02,0,-0.01,0,Normal,
20230913 19:51:51.046,0,3,0,-0.03,-0.01,0,0,Normal,
20230913 19:51:51.062,0,2,0,-0.01,-0.01,-0.01,0,Normal,
20230913 19:51:51.078,0,3,0,-0.03,-0.01,0.01,0,Normal,
20230913 19:51:51.093,0,3,0,-0.01,0,-0.01,0,Normal,
20230913 19:51:51.125,0,3,0,0.01,0.01,-0.01,0,Normal,
20230913 19:51:51.140,0,2,0,0.01,0.01,0,0,Normal,
20230913 19:51:51.156,0,1,0,-0.02,0.01,0.01,0,Normal,
20230913 19:51:51.171,0,2,0,-0.01,0.01,-0.03,0,Normal,
20230913 19:51:51.187,0,4,0,-0.01,0.01,0.01,0,Normal,
20230913 19:51:51.203,0.1,5,0,0,-0.01,0.03,0,Normal,
20230913 19:51:51.218,0,3,0,0,-0.01,0,0,Normal,
20230913 19:51:51.234,0,3,0,-0.01,0,0,0,Normal,
20230913 19:51:51.250,0,3,0,0.02,0.01,-0.02,0,Normal,
20230913 19:51:51.265,0,2,0,0,0,0.03,0,Normal,
20230913 19:51:51.281,0,2,0,0,0,0.01,0,Normal,
20230913 19:51:51.296,0,1,0,0.02,0,-0.01,0,Normal,
20230913 19:51:51.312,0,2,0,0,0.01,0.03,0,Normal,
20230913 19:51:51.328,0.1,5,0,0,-0.01,0.05,0,Normal,
20230913 19:51:51.343,0,1,0,-0.01,0.01,0.01,0,Normal,
20230913 19:51:51.359,0,0,0,0.01,-0.01,0,0,Normal,
20230913 19:51:51.390,0,2,0,0.03,0.01,0.04,0,Normal,
20230913 19:51:51.406,0,3,0,0.02,0,0.01,0,Normal,
20230913 19:51:51.421,0,0,0,-0.01,0,-0.03,0,Normal,
20230913 19:51:51.437,0,2,0,-0.01,0.01,0,0,Normal,
20230913 19:51:51.453,0,2,0,0.02,0.01,0.07,0,Normal,
20230913 19:51:51.468,0,3,0,-0.03,0,-0.03,0,Normal,
20230913 19:51:51.484,0,2,0,0.01,0.01,-0.05,0,Normal,
20230913 19:51:51.500,0,1,0,0,0.01,0.03,0,Normal,
20230913 19:51:51.515,0,0,0,0.02,0,0,0,Normal,
20230913 19:51:51.531,0,4,0,-0.02,0.01,-0.03,0,Normal,
20230913 19:51:51.546,0,2,0,0,0,-0.05,0,Normal,
20230913 19:51:51.562,0,1,0,0.02,0,0.03,0,Normal,
20230913 19:51:51.578,0,2,0,0,0.01,0,0,Normal,
20230913 19:51:51.593,0,1,0,-0.02,0,-0.07,0,Normal,
20230913 19:51:51.609,0,4,0,0.01,0,-0.01,0,Normal,
20230913 19:51:51.625,0,2,0,0.01,0,0.03,0,Normal,
20230913 19:51:51.656,0,3,0,-0.02,0,-0.04,0,Normal,
20230913 19:51:51.671,0,3,0,-0.03,0.01,-0.07,0,Normal,
20230913 19:51:51.687,-0.1,5,0,0,0,0,0,Normal,
20230913 19:51:51.703,-0.1,4,0,0,0,0.01,0,Normal,
20230913 19:51:51.718,0,3,0,-0.01,-0.02,-0.08,0,Normal,
20230913 19:51:51.734,0,2,0,-0.01,-0.01,-0.03,0,Normal,
20230913 19:51:51.750,0,1,0,0.01,0,0.02,0,Normal,
20230913 19:51:51.765,0,2,0,-0.01,-0.01,-0.03,0,Normal,
20230913 19:51:51.781,0,2,0,-0.03,-0.01,-0.05,0,Normal,
20230913 19:51:51.796,0,2,0,-0.01,0,-0.02,0,Normal,
20230913 19:51:51.812,0,3,0,-0.02,0,0.02,0,Normal,
20230913 19:51:51.828,0,2,0,-0.02,-0.02,-0.03,0,Normal,
20230913 19:51:51.843,-0.1,5,0,-0.01,0,-0.07,0,Normal,
20230913 19:51:51.859,0,3,0,0.01,-0.01,-0.01,0,Normal,
20230913 19:51:51.875,0,3,0,-0.01,-0.01,-0.01,0,Normal,
20230913 19:51:51.890,0,0,0,-0.01,-0.01,-0.06,0,Normal,
20230913 19:51:51.921,0,1,0,-0.02,0,-0.04,0,Normal,
20230913 19:51:51.937,-0.1,4,0,-0.01,-0.01,-0.04,0,Normal,
20230913 19:51:51.953,-0.1,5,0,0.01,0,-0.01,0,Normal,
20230913 19:51:51.968,0,3,0,-0.03,-0.01,-0.03,0,Normal,
20230913 19:51:51.984,0,2,0,-0.04,-0.01,-0.05,0,Normal,
20230913 19:51:52.000,0,3,0,0,-0.01,0,0,Normal,
20230913 19:51:52.015,0,3,0,-0.01,-0.01,-0.02,0,Normal,
20230913 19:51:52.031,0,3,0,-0.01,-0.01,-0.04,0,Normal,
20230913 19:51:52.046,0,3,0,-0.01,-0.02,-0.05,0,Normal,
20230913 19:51:52.062,0,3,0,0,-0.01,-0.03,0,Normal,
20230913 19:51:52.078,0,3,0,0,0,0.01,0,Normal,
20230913 19:51:52.093,0,3,0,-0.02,-0.01,-0.04,0,Normal,
20230913 19:51:52.109,0,1,0,-0.03,0.01,-0.06,0,Normal,
20230913 19:51:52.125,0,3,0,-0.03,0,-0.01,0,Normal,
20230913 19:51:52.140,0,4,0,0.01,-0.01,0.01,0,Normal,
20230913 19:51:52.156,0,3,0,-0.01,0,-0.05,0,Normal,
20230913 19:51:52.187,0,4,0,-0.03,-0.01,-0.04,0,Normal,
20230913 19:51:52.203,0,3,0,-0.01,-0.02,-0.03,0,Normal,
20230913 19:51:52.218,0,2,0,0,-0.01,-0.03,0,Normal,
